"","Flow_CD3_CD4","CD4_stressed","CD4_Tcm","CD4_Tctl","CD4_Tfh","CD4_Th17","CD4_Tnaive","CD4_Tregs","total_cibersort_cd4","Sample"
"1",0.020227748082733,0.0104192542508486,0.0313747926171977,0.0300325406964445,0,0.0189049542230723,0.0615464475865891,0,0.152277989374152,"092-126"
"2",0.148198875044879,0.0238017405303275,0,0.0466315935325828,0,0.0224296537607318,0.0655534302967557,0,0.158416418120398,"001-089"
"3",0.200162733930024,0.0217578824233629,0.0632153625696422,0.0282896774957266,0,0.02278521832573,0.0466557224492594,0,0.182703863263721,"092-140"
"4",0.0713478732887896,0.0156369360303667,0.0360775388267533,0.0113884300154525,0,0.0140551673674819,0.022461190685812,0,0.0996192629258664,"016-104"
"5",0.235740669978347,0.0274335191160466,0.0543573088714207,0.0197215805140713,0,0.023839253081861,0.0688367420297031,0,0.194188403613103,"803-069"
"6",0.00372566391785365,0.0049938333401655,0.024672845079577,0,0,0.00884748098062737,0.0105707989056261,0,0.049084958305996,"005-109"
"7",0.00848121645796064,0.00157885521519617,0.00898573726890832,0.0015512373880681,0,0.00520363729805885,0.00464221762571313,0,0.0219616847959446,"001-023"
"8",0.0851634226955564,0.00940005937234654,0.0486834592929021,0.0101543226329763,0.0349603143157304,0.0166865980230578,0,0.00560772017086805,0.125492473807881,"048-119"
"9",0.100104615827434,0.0154874662459822,0.0260860144629628,0.0374854573086411,0,0.0494204083185344,0.0625646780004056,0,0.191044024336526,"001-041"
"10",0.00149590163934426,0.00513612299516512,0.0427618653146155,0,0.0134742043118933,0.0202798673948736,0.0127528502546148,0.00281889352826548,0.0972238037994278,"005-027"
"11",0.0025195230902722,0.004283030625092,0.0194469618045133,0.00682089069189845,0,0.00908399008717125,0.0124450875956483,0,0.0520799608043234,"022-105"
"12",4.38037859949188e-05,0,0,0.0753695169933196,0.0129870305525301,0.0563834656618954,0.0728003274326111,0,0.217540340640356,"001-066"
"13",0.0999775654484897,0.0163396632060945,0.0566425790962615,0.0117132155841465,0.022628741452713,0.0238603154870969,0,0.0145979544579507,0.145782469284263,"092-144"
"14",0.00913356572056947,0.000932092313348656,0.00441657668826185,0.00321797949306088,0,0.00288621773863288,0.0085413766260187,0,0.019994242859323,"092-142"
"15",0.100416872039498,0.00634200812227019,0.0360318450761804,0.021413140483417,0,0.0288596315192166,0.00363959775141237,0.000244638328487475,0.0965308612809841,"001-101"
"16",0.249081837849554,0.00655853057398777,0.0180875839007435,0,0.026836149433143,0.0191951999766633,0.0296953074103383,0.00123846972133169,0.101611241016207,"001-030"
"17",0.38640833988985,0.014146580099216,0.0438503349291801,0,0,0.0248297098851903,0.0224148463708577,0,0.105241471284444,"001-038"
"18",0.0421561852107809,0.0234280115014868,0.0410342545406722,0.0330793019179951,0,0.0325590343244519,0.0907258180486816,0,0.220826420333288,"001-115"
"19",0.00093795567699644,0.00165945675777543,0.0178538917080069,0,0.0140654578094953,0.00956289090965816,0,0.00285053355481897,0.0459922307397547,"071-034"
"20",0.00380735684489951,0.000443105817804188,0.0139066631176257,0.00707954343061345,0.00104210838492332,0.00825657140130943,0.0100357904079293,0,0.0407637825602054,"001-017"
"21",0.191745036572623,0,0,0,0,0,0,0,0,"029-033"
"22",0.220252534676868,0.00739677182662077,0.0244547090200744,0.0117545859151567,0.0299980660214651,0.0230736586445618,0.0113357121468985,0,0.108013503574777,"001-067"
"23",0.0582728468760348,0.00225279258963056,0.0440832606685736,0.00452908798613568,0,0.0258443612650588,0.00632070681035583,0.0128899360173541,0.0959201453371086,"001-131"
"24",0.308994338411253,0.015007533771814,0.0490144214098126,0,0,0.0193778342918124,0.0622775195465667,0.000755277481772947,0.146432586501779,"092-037"
"25",0.00257302754919999,0.00739479853913815,0.0191473799950485,0.00419862894842721,0,0.0123952976307709,0.0196640036579468,0,0.0628001087713315,"001-074"
"26",0.0803361095138283,0.0269017629792712,0.0131140498854995,0.0487640348887371,0,0.0319674538718547,0.0318132600273717,0,0.152560561652734,"048-022"
"27",0.124985439720443,0.0148061996197201,0.039946474060804,0.0376382944060762,0,0.0225830860921614,0.0615303804890085,0,0.17650443466777,"002-083"
"28",0.0685138592750533,0.00276609814975867,0.0660470900931834,0,0.0158816905986984,0.0229034503820699,0,0.0120804585022913,0.119678787726002,"091-055"
