Mixture	CD10	CD31	CD45	EPCAM	P-value	Correlation	RMSE
SRC33_T1	0.874123402529055	0	0.125876597470945	0	0	0.526756540942687	1.34461825463269
SRC33_T2	0.121069716707919	0.0174390592509162	0.861491224041165	0	0	0.509612376255678	0.899044646695361
SRC35_T1	0.876592280229244	0.123407719770756	0	0	0	0.582090910480891	1.29001066049378
SRC36_T1	1	0	0	0	0	0.735734705110748	1.25903864585448
SRC36_T2	0.962998429033328	0.0370015709666719	0	0	0	0.61132446577356	1.3719009629162
SRC37_T1	0.936709933190919	0.0196673336576878	0.0436227331513932	0	0	0.649161724832655	1.28384872349706
SRC37_T2	0.845372095320506	0	0.154627904679494	0	0	0.548810859121348	1.27901822163376
SRC38_T1	0.776109264338011	0.12253967045011	0.101351065211879	0	0	0.812869542770657	0.830020211460237
SRC38_T2	0.284635918843043	0.149244928734867	0.56611915242209	0	0	0.536269294890385	0.84393223012546
SRC40_T1	0.714801842946613	0.0228684322997983	0.262329724753589	0	0	0.754691349003683	0.842816858767013
SRC40_T2	0.850058528116725	0	0.149941471883275	0	0	0.755857518644512	1.01103716287141
SRC43_T1	0.768635441851576	0	0.231364558148424	0	0	0.741782088218359	0.925321956370423
SRC45_T1	0.939552479055179	0.0175692265146693	0.0428782944301512	0	0	0.689573207873187	1.23395331655992
SRC45_T2	0.813494698696233	0.00865220242913973	0.177853098874627	0	0	0.743927722206793	0.979978438509132
SRC46_T1	0.507488255973237	0.00358642684694248	0.488925317179821	0	0	0.79820549106511	0.612946596454378
SRC48_T1	0.516681131302149	0.0329656992498876	0.450353169447963	0	0	0.83899814312386	0.551423195897867
SRC48_T2	0.40092374175458	0.0960751741854328	0.503001084059987	0	0	0.743557219734686	0.668495067252783
SRC49_T1	0.945832830568108	0.00105979787793604	0.0531073715539561	0	0	0.800244734360058	1.08098944293783
SRC49_T2	0.101002326770441	0.131960966703499	0.76703670652606	0	0	0.472774046600971	0.911089686424366
SRC52_T1	0.362825703562161	0.0142800502433531	0.622894246194486	0	0	0.672731540758248	0.740701807958752
SRC52_T2	0.893554006403738	0	0.106445993596262	0	0	0.835274449911803	0.946219807364539
SRC54_T1	0.608197747922955	0.00883344383216548	0.38296880824488	0	0	0.821210217839045	0.631448197439488
SRC54_T2	0.879350702844182	0.00688945849997486	0.113759838655843	0	0	0.841251634087516	0.915589955892447
SRC55_T1	0.87346091033399	0.12653908966601	0	0	0	0.729415301213007	1.09115373322426
SRC55_T2	0.364989718899281	0.178116594230082	0.456893686870637	0	0	0.559802823716306	0.836607620748342
SRC58_T1	1	0	0	0	0	0.808314466773956	1.15122811660312
SRC60_T1	0.359026993778187	0.215371618362772	0.297294204753742	0.1283071831053	0.01	0.201727503641848	1.08738822212273
SRC60_T2	0.730438989594907	0.121845297389405	0.147715713015688	0	0	0.375068792457638	1.32281796635508
SRC62_T2	0.299427515172882	0.0405284285959339	0.660044056231184	0	0	0.595051169679602	0.805956801764186
SRC64_T1	0.70047384705854	0.0355100460066013	0.264016106934859	0	0	0.702377040418055	0.903306588811627
SRC64_T2	0.243051241625528	0.0567029201236885	0.700245838250783	0	0	0.51545727517013	0.860482358908215
SRC65_T1	0.425367471273746	0.248307965319189	0.326324563407065	0	0	0.42943484102336	0.974615709860978
SRC65_T2	0.179066901840343	0.129904516753198	0.691028581406459	0	0	0.327691124332398	0.946478250110926
SRC66_T1	0.71360182830543	0.170538528863183	0.115859642831387	0	0	0.601820135563156	1.05801490783534
SRC68_T2	0.874235348604381	0	0.125764651395619	0	0	0.826369269138022	0.933095617144052
SRC70_T1	0.992366795809677	0.00763320419032252	0	0	0	0.692506505468284	1.30794183688489
SRC75_T1	0.666297264968962	0	0.333702735031038	0	0	0.718890528353568	0.842620135997528
SRC78_T1	0.917223153281898	0.00582878933383559	0.076948057384266	0	0	0.762814591280508	1.09618836160758
SRC78_T2	0.505145006753728	0.0464758664286688	0.448379126817603	0	0	0.669249099548821	0.78077388318884
SRC80_T1	0.246594159663598	0.036268912273526	0.717136928062876	0	0	0.475673381943885	0.881513442053425
SRC39_T2	0.460860323213138	0.00849107649786976	0.530648600288993	0	0	0.702868207178217	0.722570851943508
SRC41_T2	0.921177370029059	0.0744716237761132	0.00435100619482782	0	0	0.617253510833448	1.30583616676589
SRC44_T2	0.704214008653704	0.100775921877537	0.195010069468759	0	0	0.521237778209296	1.13528880007363
SRC46_T2	0.682443415545511	0.00433440077840035	0.313222183676089	0	0	0.852042509309936	0.642721906078449
SRC47_T2	1	0	0	0	0.02	0.189833719512686	1.88139007363334
SRC50_T1	1	0	0	0	0	0.816536021528427	1.13837214097611
SRC51_T1	0.98884383220371	0	0.0111561677962898	0	0	0.739085194589589	1.2372921492606
SRC53_T2	0.766527636587731	0.233472363412269	0	0	0.08	0.0734922784994362	1.65736530804129
SRC56_T1	0.363585237337634	0.0467957765293116	0.589618986133054	0	0	0.570197755108311	0.82675437193677
SRC57_T2	0.479187773518078	0.0811694465225414	0.439642779959381	0	0	0.57553127814672	0.86761011044592
SRC58_T2	0.393711501088784	0.0687815463880632	0.537506952523153	0	0	0.543016039812026	0.857008789946059
SRC59_T1	0.984437772729794	0	0.0155622272702064	0	0	0.730564153217853	1.24275788457969
SRC59_T2	0.914226093112045	0	0	0.0857739068879554	0	0.26781739545807	1.67703981785965
SRC61_T1	0.895003355503202	0.00937243329671368	0.0956242112000839	0	0	0.620786731987338	1.26005001463934
SRC63_T1	0.963205056053354	0	0.0367949439466459	0	0	0.811766144338481	1.08911539149205
SRC67_T1	0.810099466731815	0.0843344405151239	0.105566092753061	0	0	0.744491068936799	0.979074682968482
SRC69_T1	0.995876497356673	0	0.00412350264332728	0	0	0.731241606939948	1.25913535524931
SRC71_T1	0.514311856570141	0.113142165120717	0.372545978309142	0	0	0.536793660862754	0.931217498360551
SRC72_T2	0.357027759957281	0.122731732360064	0.520240507682655	0	0	0.484029208910218	0.891550591713173
SRC73_T1	0.375766523586836	0.0805595713889405	0.538774104534193	0.00489980049003	0	0.376130398173902	0.976374389051421
SRC74_T1	0.727792617761996	0.084880351175486	0.187327031062518	0	0	0.826568708484121	0.74387036910329
SRC79_T1	0.958781029894335	0	0.041218970105665	0	0	0.835173269155633	1.0445959803031
SRC80_T2	0.145829535712834	0	0.854170464287165	0	0.0600000000000001	0.106862581872197	1.01732426026704
SRC81_T2	0.237286375175541	0.0338228416665183	0.728890783157941	0	0	0.625549436600033	0.802904844166637
SRC82_T1	0.763830648675172	0	0.236169351324827	0	0	0.765915381185442	0.882749549166092
SRC82_T2	0.671829331645363	0.00340350311641738	0.32476716523822	0	0	0.823719989517998	0.683637225805836
SRC83_T2	0.0898710682002707	0.0187260881443652	0.891402843655364	0	0	0.268739934007844	0.969365321206072
SRC84_T1	0.768904876094396	0.00485145670947465	0.226243667196129	0	0	0.859280858196382	0.730496671552006
SRC39_T1	0.868280275973496	0.0249452976528019	0.106774426373702	0	0	0.747810029210097	1.0495790482057
SRC41_T1	0.826082566529118	0.173917433470882	0	0	0	0.556165645116936	1.25639518172534
SRC53_T1	0.949994416793521	0.0213771850041244	0.0286283982023549	0	0	0.793610451533182	1.09874341847417
SRC62_T1	0.136070590577477	0.491568705921771	0.372360703500751	0	0	0.533153502277436	0.848932420542656
SRC68_T1	0.945976381833582	0	0.054023618166418	0	0	0.813035196725572	1.06092688335674
SRC77_b_T1	0.898244833814671	0.0320798197654417	0.0696753464198877	0	0	0.755938178744937	1.08042927200442
SRC81_T1	0.162329576435778	0.11401985103444	0.723650572529782	0	0	0.469548343082153	0.895192796714729
SRC35_T2	0.922903457970694	0.0357496292231256	0.0413469128061808	0	0	0.865463027856876	0.940344427349033
SRC43_T2	0.781736215996767	0	0.0719321428907336	0.1463316411125	0	0.406924120195303	1.35109515491932
SRC70_T2	0.555074647902605	0.0270233021434305	0.417902049953964	0	0	0.596409204269364	0.897120426547053
SRC34_T1	0.246257370566417	0.0844708607015531	0.66927176873203	0	0	0.490404854537688	0.872894060514796
SRC42_T1	0.291087392627331	0.0116456857331654	0.697266921639504	0	0	0.720527670437435	0.719573955364436
SRC47_T1	0.968599198631444	0	0.0314008013685562	0	0	0.827799700195289	1.07172920282825
SRC57_T1	0.922810642556941	0.00244216168230676	0.0747471957607522	0	0	0.424907039636733	1.52828041308674
SRC72_T1	0.930104979563624	0.0139295095742358	0.0559655108621404	0	0	0.597091247616387	1.34029089564277
SRC73_T2	0.276794979220776	0.321113508362884	0.309070479939679	0.0930210324766604	0.04	0.138158730938861	1.07914710790996
SRC76_T1	0.381972225220516	0.0816394045544327	0.536388370225052	0	0	0.727835723040227	0.686344706061377
SRC217_T1	0.84356842109322	0.066549719137604	0.0898818597691763	0	0	0.80460015088193	0.929677719017079
SRC217_T2	0.232662981335918	0.0414014700610517	0.725935548603031	0	0	0.688582835765563	0.769459927624829
SRC218_T1	0.732436957424049	0.267563042575951	0	0	0.03	0.177037624862102	1.52531800287411
SRC218_T2	0.302122619795593	0.050182815180191	0.647694565024216	0	0	0.564623866503601	0.826216963519499
SRC219_T1	0.778833775215519	0.0955770383918493	0.125589186392631	0	0	0.807382681626363	0.840486029980398
SRC219_T2	0.00640647107301313	0.0628133144366672	0.93078021449032	0	0	0.341034760417021	0.961026930897783
SRC220_T1	0.873230107935593	0.0269253435197736	0.0998445485446338	0	0	0.794405393903366	0.985240062046399
SRC221_T1	0.916160518202806	0	0.0838394817971941	0	0	0.83212609724758	0.985012273978356
SRC222_T1	0.979805441360522	0	0.0201945586394784	0	0	0.790176968047056	1.14804469273584
SRC223_T1	1	0	0	0	0	0.793711468012131	1.17371557441679
SRC223_T2	0.431322282776033	0.116570627947086	0.452107089276881	0	0	0.696842459639732	0.722291538681658
SRC244_T1	0.918962758147742	0.00558091465182132	0.075456327200437	0	0	0.821124897488395	1.00762795585897
SRC244_T2	0.734015442061786	0.00421332452001683	0.261771233418197	0	0	0.847197634179437	0.709725631426403
SRC245_T2	0.44735192232568	0.0795383789957593	0.47310969867856	0	0	0.82058383387515	0.571292483462515
SRC246_T1	0.937924149018754	0.0183348000503921	0.0437410509308536	0	0	0.85819692183587	0.974892033266483
SRC247_T1	0.904903553344138	0.0950964466558617	0	0	0	0.838876030305082	0.963581591173822
SRC248_T1	0.789077766716346	0.109629892319076	0.101292340964578	0	0	0.810902682714594	0.849024739228919
SRC248_T2	0.706216875989099	0.0557824419953678	0.238000682015533	0	0	0.833030492209849	0.705794657616935
SRC249_T1	0.994686157032594	0	0.00531384296740634	0	0	0.851864468376937	1.07299055608683
SRC250_T2	0.853148608841662	0.000254762989802138	0.146596628168536	0	0	0.872305987298084	0.821679934730767
SRC253_T2	0.991701740889536	0	0.00829825911046373	0	0	0.845110779681511	1.0794463752509
SRC254_T2	0.220728180203236	0.0895856366430521	0.689686183153712	0	0	0.426539056322251	0.905690030010823
SRC255_T1	0.656310199804122	0.0141327382756122	0.329557061920266	0	0	0.551275727430817	1.04318037075785
SRC256_T1	0.789038923700155	0.00428227675049641	0.206678799549348	0	0	0.497986148203767	1.26239626268244
SRC256_T2	0.491840801882275	0.0248603831383855	0.48329881497934	0	0	0.678138144810302	0.763364009637697
SRC257_T2	0.0168995219058405	0.00178721454055027	0.981313263553609	0	0	0.439098784514293	0.943521288684316
SRC258_T1	0.447874520234791	0.0863018218544222	0.465823657910786	0	0	0.246401547304496	1.12148606147787
SRC258_T2	0.785625562006571	0.121731294831179	0.0926431431622505	0	0	0.709472968338439	1.00087455186058
SRC74_T2	0.805773924422577	0.0411975534866225	0.153028522090801	0	0	0.754622249140507	0.955424128733346
SRC257_T1	0.963160830793969	0	0.0368391692060313	0	0	0.760327481987719	1.16764644179928
SRC259_T1	0.633851137660143	0.051122381910168	0.315026480429689	0	0	0.663678679233127	0.886616982980537
SRC259_T2	0.059160522546602	0.102666438923087	0.838173038530311	0	0	0.298839258715978	0.963106445737037
SRC260_T1	0.869407773322312	0.130592226677688	0	0	0	0.716122238380072	1.1048143833411
SRC260_T2	0.979903124660223	0.0200968753397774	0	0	0	0.674335482995037	1.31438828457386
SRC261_T1	0.929628724483419	0.043153518111589	0.027217757404992	0	0	0.719786551388559	1.17903733308553
SRC261_T2	0.408626857797196	0.0461598159737702	0.545213326229034	0	0	0.671000385893556	0.744580929346425
SRC262_T1	0.45587300877868	0.00989165268513077	0.534235338536189	0	0	0.791645276151178	0.611692901815096
SRC262_T2	0.531684150436771	0.0208377812493501	0.447478068313879	0	0	0.805946040054708	0.610462154686719
SRC263_T2	0.699070470233452	0.0665357855117642	0.234393744254784	0	0	0.810424423109537	0.737969692465566
SRC264_T1	0.818110969368811	0.0420288775200414	0.139860153111147	0	0	0.798555112194313	0.903061680656527
SRC264_T2	0.38941143436437	0.0404299164563138	0.570158649179317	0	0	0.731998974442923	0.681944218777857
SRC265_T1	0.77858711392706	0.0384386293039283	0.182974256769011	0	0	0.766472226715773	0.902079225620052
SRC265_T2	0.708918768170688	0.0111676983070405	0.279913533522272	0	0	0.798978043587036	0.76552659966769
SRC266_T1	0.914631568344444	0.0841217433304852	0.00124668832507063	0	0	0.822697410077621	1.00400657001642
SRC266_T2	0.945796913014155	0.0542030869858454	0	0	0	0.75128074014872	1.15831903071722
SRC267_T1	0.996803401354003	0	0.00319659864599731	0	0	0.854434732108809	1.07206572799035
SRC267_T2	0.691225979516462	0.0193404492529124	0.289433571230626	0	0	0.796454454365828	0.750701376169361
SRC268_T1	0.620778625502417	0.0821826974234119	0.297038677074171	0	0	0.805766499801261	0.670280892523795
SRC268_T2	0.367581808861727	0.00871932883409749	0.623698862304176	0	0	0.738796317068611	0.678529166153009
SRC269_T2	0.886977821579164	0.0238799167317146	0.089142261689121	0	0	0.870687062917162	0.87586038755218
SRC270_T1	0.940821072574993	0.0591789274250074	0	0	0	0.81403856157231	1.05533391020955
SRC270_T2	0.876052147908776	0.0613343062071586	0.0626135458840659	0	0	0.813570154443233	0.960631723232154
SRC271_T1	0.385447448249671	0.00857572781485439	0.605976823935475	0	0	0.634820138318811	0.775719481480463
SRC272_T1	0.924725875303926	0.0752741246960735	0	0	0	0.698559153845998	1.20374273553179
SRC272_T2	0.796215020176286	0.0936235658034931	0.110161414020221	0	0	0.502834703556028	1.2711944277687
SRC273_T2	0.231406394548163	0.166128587761214	0.602465017690623	0	0	0.439225973299343	0.898574392987962
SRC274_T1	0.19939617238596	0.18142426311294	0.619179564501101	0	0	0.396079993275576	0.918487791971161
SRC275_T2	0.844751355337679	0.0665659629761895	0.0886826816861313	0	0	0.843090235367168	0.866436897086145
SRC276_T1	0.742170555411849	0.257829444588151	0	0	0	0.233845987725499	1.48654780095184
SRC277_T1	0.998898613259622	0.00110138674037792	0	0	0	0.699480983877462	1.30795989886097
SRC278_T1	0.962702089815647	0.0214897042977703	0.0158082058865823	0	0	0.807436206086136	1.09643227179526
SRC279_T1	0.925437742032186	0	0.0745622579678139	0	0	0.793366230092403	1.06124896226895
SRC279_T2	0.786375969238678	0.200642009882458	0.0129820208788638	0	0	0.718570846970047	0.996635757262866
SRC360_T1	0.645130307888783	0.00690731103621002	0.347962381075006	0	0	0.752179213814086	0.773665572859077
SRC360_T2	0.395143580991235	0.0624450989593839	0.542411320049381	0	0	0.459815783121585	0.924412161181438
SRC361_T1	0.450362770382496	0.0405212129281073	0.509116016689396	0	0	0.691705488213571	0.732065959732919
SRC361_T2	0.121738534981097	0.0728585711268135	0.80540289389209	0	0	0.459950821812695	0.911682897100217
SRC362_T1	0.250453661205379	0	0.749546338794621	0	0	0.383953739999705	0.929368704792612
SRC362_T2	0.953968169283256	0	0	0.046031830716744	0	0.506943230024881	1.48228589912083
SRC363_T1	0.445690146161131	0.0985791632155241	0.455730690623345	0	0	0.653241492423338	0.772596481398615
SRC363_T2	0.0993860433945226	0.0572714720020373	0.84334248460344	0	0	0.481174247349623	0.913893885875534
SRC364_T2	0.469545011064796	0.0515969598320661	0.478858029103138	0	0	0.601965741619656	0.835059581403547
SRC365_T1	0.695254614629915	0.0614431608964989	0.243302224473586	0	0	0.794795062654221	0.759655117809294
SRC374_T1	0.836316587867494	0.113570138213826	0.05011327391868	0	0	0.777562083714576	0.966401862392679
SRC253_T1	0.753300708437835	0.246699291562165	0	0	0	0.414994274914895	1.32449453187104
SRC255_T2	0.698710678938342	0	0.301289321061658	0	0	0.785486651023736	0.776002661042123
SRC447_T1	0.91811116379212	0	0.0818888362078797	0	0	0.814555119397205	1.01673800428747
SRC449_T1	0.968882106854123	0.0311178931458774	0	0	0	0.720330243561724	1.23559411042876
SRC450_T1	0.708999034012434	0.0385589742710947	0.252441991716471	0	0	0.751724832848081	0.841451904631979
SRC451_T2	0.864832275509102	0.0454101139216021	0.0897576105692955	0	0	0.431015671548445	1.4408825237358
SRC453_T1	0.842953401803219	0.0675009076228284	0.0895456905739522	0	0	0.859097055654524	0.835474737795549
SRC455_T1	0.828621192055714	0.0309291445409673	0.140449663403318	0	0	0.719989299547118	1.036113007805
SRC456_T2	0.145806960066322	0.0120102960626434	0.842182743871035	0	0	0.297034083042601	0.958958308270982
SRC457_T1	0.35188871696661	0.171432730182171	0.47667855285122	0	0	0.465690638329233	0.904429790022963
SRC458_T1	0.836650956391845	0.080824580766731	0.0825244628414244	0	0	0.68111947254575	1.1042582771319
SRC459_T2	0.879205001857454	0.0294482762204684	0.0913467219220776	0	0	0.784368990246413	1.00969120136503
SRC462_T1	0.995298406534397	0	0.00470159346560274	0	0	0.809575159348747	1.14196210311345
SRC463_T1	0.754419693820748	0.087002599378297	0.158577706800955	0	0	0.355993892445987	1.37043877164982
SRC464_T1	0.969415604103935	0	0.0305843958960649	0	0	0.821867362454495	1.08253929755924
SRC245_T1	0.933372653225271	0	0.0666273467747292	0	0	0.675699463170258	1.24281203936004
SRC247_T2	0.68334232058883	0.167530355334621	0.149127324076549	0	0	0.600034575392673	1.02504933892643
SRC364_T1	0.94329531412053	0.0459197271814933	0.0107849586979766	0	0	0.776975915997731	1.11575810052562
SRC447_T2	0.254963529722296	0.0618933070960542	0.68314316318165	0	0	0.487625009128773	0.87433657372886
SRC449_T2	0.938835383937892	0	0.0611646160621084	0	0	0.845929655285423	0.996127226425187
SRC451_T1	0.867916763851398	0.0073878671330647	0.124695369015538	0	0	0.703332181578785	1.11214948866889
SRC454_T1	0.780033479341832	0.028958039274046	0.191008481384122	0	0	0.838458593783105	0.784189674127461
SRC454_T2	0.307797046079872	0	0.692202953920128	0	0.0600000000000001	0.10196159661343	1.09792532755117
SRC456_T1	0.927183710705194	0.000910858667739638	0.0719054306270668	0	0	0.767005621930447	1.10424148608175
SRC457_T2	0.413862475242753	0.0622026396348841	0.523934885122363	0	0	0.503253826544713	0.898443866429704
SRC459_T1	0.768074883432434	0.0756892965759088	0.156235819991658	0	0	0.712388594716839	0.971159036220326
SRC520_T1	0.847859577536934	0.0632739849959832	0.0888664374670829	0	0	0.740842797734828	1.0338921755588
SRC522_T1	0.956392149140745	0.0436078508592547	0	0	0	0.43314633699966	1.57078432988915
SRC523_T1	0.731065742451345	0.121056221599741	0.147878035948914	0	0	0.693714186557041	0.955497494361849
SRC523_T2	0.523517266065999	0.188262588794512	0.288220145139489	0	0	0.711852676374092	0.744605187440041
