"","DC_AREGhi","DC_CD1c","Inflammatory_Monocytes","M2_APOC1hi_APOEhihi","M2_SELENOPhi_SLC40A1hi","M2_TREM2hi_SPP1hi","Mastocytes","Monocytes_EREGhi","PMNs_Immunoregulatroy","PMNs_Proinflammatory","Flow_myeloid","total_cibersort_myeloid","Sample"
"1",0,0,0.0399832327158602,0,0.157958311631422,0.186652346709623,0.0070459232164867,0.0521727301658986,0.0506109931468947,0.021827179730375,0.378638159423658,0.51625071731656,"092-126"
"2",0,0,0.0620787369101839,0.0194034966447701,0.28442283807427,0.0592466009111281,0.000272908355866781,0.000960027107022676,0.0121665649084068,0.0280111452015918,0.185923433905562,0.46656231811324,"001-089"
"3",0,0,0,0,0.150450806121824,0.0102975282027314,0.00638090942680492,0.0984630743123846,0.0184352559179042,0.0313437931100083,0.0862489829129373,0.315371367091658,"092-140"
"4",0,0,0.00870244371215312,0.00136143808611158,0.108553638238418,0.00499283601870059,0.00631598309850715,0.0781068037059787,0.0193316218924716,0.0205081227683538,0.226281366673434,0.247872887520695,"016-104"
"5",0,0,0.00847872136629841,0,0.163988175948188,0,0.0101415076592958,0.124762035686802,0.018936398192372,0.0452852136281726,0.472194624888549,0.371592052481129,"803-069"
"6",0.00466791709387669,0,0,0,0.048186472073936,0,0.00570738981563215,0.0506946392248902,0.00894074861793293,0.0118360713769387,0.0417546968354574,0.130033238203207,"005-109"
"7",0.00144593338458352,0,0,0.00572371205279003,0.0162718708632839,0,0.00341159760515113,0.0225018557654548,0.00589677604571553,0.00413023035179291,0.0344042933810376,0.0593819760687718,"001-023"
"8",0.00500662630063312,0,0,0,0.116824977714552,0.0278713279727769,0.011986467135748,0.0614699094980783,0.0276792297310623,0.0161343442648746,0.597649651120088,0.266972882617725,"048-119"
"9",0.0264298111097029,0,0.0176838858100939,0,0.164262977684195,0,0.014171292169817,0.0598388370933411,0.00160882651921409,0.01464586085163,0.364406263665097,0.298641491237994,"001-041"
"10",0.0390602448617637,0,0.00549579142961106,0,0.0677473177603571,0.0150699493216087,0.0165404907634204,0.0512834553924949,0.01761509521674,0.015590896608474,1.00994262295082,0.22840324135447,"005-027"
"11",0.00656022134913158,0,0,0.00034393107700794,0.0437100853083629,0,0.00835541035654305,0.0483066967304367,0.0115326985050301,0.0104303713412728,0.0230966995532988,0.129239414667785,"022-105"
"12",0.100877816664684,0.00344808729218833,0,0,0.0677224031047904,0,0.0237760903196947,0,0.0697928427813915,0.0515958719746135,0.268948506964802,0.317213112137363,"001-066"
"13",0.0559777030343108,0,0.0612521966562548,0,0.15115771262812,0.0735663708381093,0.020290916255224,0.0197363036058314,0.0192538059277582,0.0111984116276946,0.217192344640731,0.412433420573303,"092-144"
"14",0.00398067095226323,0,0,0,0.00472562814425745,0.00184219864753815,0.00217278377234721,0.0278984303775871,0.00808406905993467,0.00260058540644973,0.20989852186771,0.0513043663603775,"092-142"
"15",0.0263096662514967,0,0.00276716461131629,0,0.0984641619668433,0,0.0210709481379271,0.044387546056407,0.0157731967365013,0.0118162947236292,0.399553888438693,0.220588978484121,"001-101"
"16",0.0339860426778084,0,0.00997118598172681,0,0.082047385049207,0.00513195401715633,0.0107011288046002,0.0417868857062133,0.00310930445482934,0.0194444951769565,0.133535897631443,0.206178381868498,"001-030"
"17",0,0,0.0167743966313276,0.0346267423498774,0.0809996419536126,0,0.00708902243016912,0.139985847530266,0.00872027768630275,0.0331263153372622,0.23947678992919,0.321322243918818,"001-038"
"18",0.0100444205282484,0,0.0782655140335792,0,0.236784233161187,0.0296005956156138,0.00691907371763414,0.038986510232054,0.0159899872898703,0.03263374747994,0.536794703167845,0.449224082058127,"001-115"
"19",0.0140694877403184,0,0,0,0.0099388345475081,0.00375300192484192,0.00817027928348461,0.00654447040049288,0.0101597127377044,0.00397612240420247,0.178243106551239,0.0566119090385528,"071-034"
"20",0.0123834431901581,0,0,0.00459136953789362,0.0067392893365248,0.00672116549501801,0.00599679805264816,0.0425682796292825,0.0129564124653026,0.0071700082000102,0.0179051952976868,0.0991267659068379,"001-017"
"21",0,0,0,0,0,0,0,0,0,0,0.445820271682341,0,"029-033"
"22",0.0297181718854277,0,0.00407108337770038,0,0.107463964817078,0.0106944526625825,0.0229139535647914,0.000704218407700288,0.00794472094246802,0.0138765912217776,0.462648504074143,0.197387156879526,"001-067"
"23",0.0215490187965806,0,0.0127596189957946,0.00093652467134917,0.0821871859146277,0,0.0234000564685369,0.0766175829719762,0.00514327303204217,0.0190769974205792,0.782517250946453,0.241670258271487,"001-131"
"24",0.0088655785927285,0,0.0567540545313334,0,0.198503585061564,0.0194552527047332,0.010730817492745,0.0387841330206515,0.00284740728063256,0.0155304164986377,0.40524134710792,0.351471245183026,"092-037"
"25",0.00506555358499143,0,0.0101457906430526,0.00409412848761064,0.0469095178736888,0.0134654517815902,0.0072103086906882,0.0755673471125698,0.0170585329422197,0.0125439110267917,0.0235447731232086,0.192060542143203,"001-074"
"26",0.0192717287844097,0.0205417363937538,0,0,0.120542772089611,0,0.00760076784281851,0.0141917530556337,0.0519179157923842,0.0209814083207014,0.189720094229378,0.255048082279313,"048-022"
"27",0.0166324929671206,0,0.0164825316185257,0,0.124030557254912,0.0614762557281298,0.0114041336850364,0.0572130172723541,0.0456683556737079,0.018363175267881,0.220733838089691,0.351270519467667,"002-083"
"28",0.0628211455069129,0,0.0154865068569785,0,0.066049013222495,0.0111729485853204,0.0254978250093459,0.0414789149896942,0.0269831769608942,0.00533573889305066,0.62107249466951,0.254825270024692,"091-055"
"29",0.007381866552587,0,0,0,0.00118497010040573,0.00116800319487672,0.00227130854628467,0.0016052131615124,0.0112369879508874,0,0.452707516339869,0.0248483495065539,"001-014"
"30",0.00910604796728995,0,0,0,0.0136672270303008,0.00286315193486978,0.00717824869028551,0.0182351762720865,0.00994104893887698,0.00361873242292391,0.373860802183495,0.0646096332566334,"004-045"
"31",0.0101988609189224,0,0,5.06657072550037e-06,0.0128256744563205,0.00290007710423317,0.00611353557951633,0.0338974260303942,0.0109609146004226,0.00533889795474732,0.00470800115497741,0.0822404532152821,"004-058"
"32",0.000415932834699291,0,0,7.40683396581465e-05,0.000258953715397523,0,0.000246968121038566,0.000523885889809294,0.000286374220309092,7.03476373116719e-05,0.0950005542622769,0.00187653075822358,"005-007"
"33",0,0,0,0,0,0,0,0,0,0,0.0461105169340463,0,"005-015"
"34",0.0036721300627151,0,0,0,0.00610047933562509,0,0.00270112287951881,0.0044146822698439,0.0021991167064607,0.00111384054009133,0.176599036465473,0.020201371794255,"015-002"
"35",0.0256296474991398,0,0.0497982101140921,0,0.0343046099199818,0.319011969047682,0.00561282952209611,0.118791705282143,0.0750118519652385,0.0165876592493564,0.000573170731707317,0.644748482599729,"016-116"
