"","Mixture","CD4+ Stressed","CD8+ GZMK+ Tm","CD4+ Activated","CD4+ Tregs","CD8+ Early Activation","NK cells CD56 high","CD4+ Th17","CD8+ Activated","CD8+ ISG","CD4+ Tn","CD8+ Exhausted","CD8+ Stressed","NK cells CD56 low","CD4+ Tcm","CD4+ Tfh","DCs AREG+","M2 APOC1+ APOE+","Macro SELENOP+ SLC40A1+","Monocytes EREG+","M2 TREM2+ SPP1+","Mastocytes","DCs CD1c+","Inflammatory Monocytes","Immunoregulatroy PMNs","Proinflammatory PMNs","B Cells & Plasma Cells","P-value","Correlation","RMSE"
"1","SRC33_T1",0.0449453131492624,0.0208387155214242,0.127965176715907,0,0.0142433642081747,0.068948655426793,0.04675946711153,0.171285658688585,0,0.0121798066524911,0.0550229099032538,0,0,0.0204529899682714,0,0.0936240899266039,0,0.062174083665252,0.00848610019679893,0,0.0180530024501904,0.0327912226769632,0,0.132086942668969,0.0180237608907317,0.0521187401787983,0,0.266164641879411,0.966064021056046
"2","SRC33_T2",0.0342242747697741,0.0632865274383774,0.0387324825547501,0,0.0332664371336237,0.00221981996241889,0.0387131922473367,0.109843235675686,0.0232280989743343,0.0320518137587693,0.031446148106957,0.0250712959188626,0.0369214345370223,0.0691673008214165,0,0,0.0651932631252986,0.182298960438589,0.0820898223398217,0,0.0089933621308024,0,0,0.060917347085349,0.0285315864426221,0.0338035965381887,0,0.816182774464455,0.675714064085507
"3","SRC35_T1",0.0162098645734124,0.0112597374738392,0.138981530300089,0,0,0.0624987620882658,0.0503428785362213,0.157826211948265,0,0.0369573811062472,0.0517445102095515,0,0.0128735846394239,0.0446349857089516,0.00010937776388471,0.0795138125645588,0,0.0709800047047,0.0367725842990734,0,0.0175761156426313,0.0386114086842652,0,0.125965613201837,0.0207454883072912,0.0263961482474919,0,0.282141561560078,0.961893023469114
"4","SRC36_T1",0.0298600091868397,0.0386045348353801,0.0573837679963448,0.0211167134152372,0.0148191159354702,0.0317160281064787,0.0433623928513758,0.147953037783707,0.0147861277660374,0.0210687506838919,0.0537524156546013,0,0.0332060304749369,0.032308514511327,0.0232375772975508,0.134072248818102,0,0.052041132192741,0,0,0.0253645068783973,0,0,0.152263061471775,0,0.073084034139807,0,0.279664876977025,0.961104861336412
"5","SRC36_T2",0,0.0820293645817484,0,0.021910595252212,0.0178089360961429,0.00901606965632943,0.0543489508112198,0.026537142853755,0,0,0.0517883722374429,0.0136346367722734,0.048572009940654,0.129696468478088,0.0230265108345418,0.0889429980702978,0,0.0424993144337272,0.167321980896918,0.0164877408393766,0.0630850396610318,0,0,0.0938020256686698,0.0210327929242423,0.0284590499913288,0,0.618639845305175,0.785918338442612
"6","SRC37_T1",0.00076688551938896,0.00700087570633573,0,0.0104940232169888,0.0224229197238015,0.0266394954421277,0.072192191689019,0.118987938338513,0,0.0352900037043485,0.0241280600570244,0.0423863666291749,0.0317964381192037,0.0610680249621038,0.0294681794786525,0.0459996401844989,0,0.0765231629317439,0.222460173984278,0,0.0290957822404208,0,0,0.0744145990199456,0.0423345406770596,0.0265306983753712,0,0.80080551528856,0.604961814347427
"7","SRC37_T2",0.00510276020129709,0.0304114304128412,0,0.0216146879183896,0.0153492089814785,0.0121371535101209,0.0516629138587859,0.0550639283611191,0.0471150492872781,0,0.0542319428764227,0.0328432867034138,0.0352016176670857,0.120327209446083,0.035330374068701,0.0810933754151201,0,0.0930699528640245,0.0863697283450607,0.0730477276185635,0.0513488613821509,0,0.0165279451005709,0.0445075556786564,0.0125961526132706,0.0250471376895662,0,0.641597423628316,0.791653600144755
"8","SRC38_T1",0.017810232721697,0.0179957254232161,0.0403239448157161,0,0.0182620457407778,0.0206488406512728,0.0485197002572878,0.133176873311507,0,0.0379621504647945,0.0415053935083331,0.012943828693848,0.0391367577782389,0.0694153620100107,0.0301302008561837,0.112061470291058,0,0.123686814285874,0.0683181185347238,0,0.0436656001834587,0,0.00890446369355979,0.0571148624833564,0.0221989245908408,0.0362186897042447,0,0.311683081558617,0.95751780963039
"9","SRC38_T2",0.00892125015918483,0.0440206963763973,0.0712529556676067,0,0.023366328627206,0.0302903169799478,0.0587267718198322,0.0685138167117825,0.0550870920571325,0,0.0460863238942133,0.00912970109654169,0.00929514532589686,0.0852048142572205,0.0580725973945048,0.0492947596322588,0.0833202241397119,0.142376393592993,0.00915650981751823,0,0.0391601148211258,0,0.0248765511232961,0.0125475439952006,0.0381711076116806,0.0331289848987485,0,0.382619706287359,0.924567338500133
"10","SRC40_T1",0.0249140887803756,0.0275744538176615,0.0175608429803063,0,0.0258496881061014,0.01552236380238,0.0394881892423019,0.140309920131872,0.0368887142761698,0.0668925713060401,0.0508467513325549,0,0.035893852104157,0.0275079595716671,0,0.073335093971865,0,0.134056476091265,0.0928299747536106,0.0134257012345784,0.028033687467262,0,0,0.0902020103514216,0.0339334849487635,0.0249341757296456,0,0.689788326952091,0.760182355909829
